race_id,driver_id,constructor_id,season,round,circuit_id,quali_pos,grid_pos,avg_fp_longrun_delta,constructor_form,driver_form,circuit_effect,driver_consistency,constructor_reliability,driver_momentum,weather_risk,points,finish_position,points_scored,podium_finish,top_10_finish
2010_1_bahrain,alonso,ferrari,2010,1,bahrain,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1,1,1,1
2010_1_bahrain,massa,ferrari,2010,1,bahrain,2,2,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,2,1,1,1
2010_1_bahrain,hamilton,mclaren,2010,1,bahrain,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3,1,1,1
2010_1_bahrain,vettel,red_bull,2010,1,bahrain,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,4,1,0,1
2010_1_bahrain,rosberg,mercedes,2010,1,bahrain,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5,1,0,1
2010_1_bahrain,michael_schumacher,mercedes,2010,1,bahrain,7,7,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6,1,0,1
2010_1_bahrain,button,mclaren,2010,1,bahrain,8,8,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7,1,0,1
2010_1_bahrain,webber,red_bull,2010,1,bahrain,6,6,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8,1,0,1
2010_1_bahrain,liuzzi,force_india,2010,1,bahrain,12,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9,1,0,1
2010_1_bahrain,barrichello,williams,2010,1,bahrain,11,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10,1,0,1
2010_1_bahrain,kubica,renault,2010,1,bahrain,9,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0,0,0
2010_1_bahrain,sutil,force_india,2010,1,bahrain,10,10,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0,0,0
2010_1_bahrain,alguersuari,toro_rosso,2010,1,bahrain,18,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0,0,0
2010_1_bahrain,hulkenberg,williams,2010,1,bahrain,13,13,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0,0,0
2010_1_bahrain,kovalainen,lotus_racing,2010,1,bahrain,21,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0,0,0
2010_1_bahrain,buemi,toro_rosso,2010,1,bahrain,15,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0,0,0
2010_1_bahrain,trulli,lotus_racing,2010,1,bahrain,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0,0,0
2010_1_bahrain,rosa,sauber,2010,1,bahrain,14,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0,0,0
